LanguageIC,Entropy,LongestWord,SignatureNasty,SignatureSuperNasty,
0.036488826,5.731596545,2308,165,0,1
0.015112238,6.078658118,14099,2,0,1
0.034573681,5.546910827,74,3,0,1
0.018245614,5.218219624,41,1,0,1
0.014120292,6.946210853,488,4,0,1
0.034718519,5.393136239,100,30,0,1
0.032718517,5.712565102,178,50,0,1
0.029374117,5.60604431,153,30,0,1
0.066155252,6.008452795,3147,53,0,1
0.028246579,5.654167847,108,10,0,1
0.028537701,5.682673611,143,25,0,1
0.030066178,5.560666243,108,17,0,1
0.028246579,5.654167847,108,10,0,1
0.031913742,5.540394079,162,0,0,1
0.039567464,5.749880809,77,8,0,1
0.039466687,5.49472924,167,1,0,1
0.039466687,5.49472924,167,1,0,1
0.015306238,6.036039187,79,2,0,1
0.015326606,6.038804036,120,2,0,1
0.043192615,5.487670594,91,3,0,1
0.030007966,5.497529578,86,4,0,1
0.015197237,6.039317848,49146,3,0,1
0.030933754,5.558071286,80,17,0,1
0.015580194,6.006404518,44223,2,0,1
0.02623596,5.975845568,31483,141,0,1
0.015579513,6.006555039,44223,2,0,1
0.028871969,5.779092393,422,103,0,1
0.036848484,5.519005766,167,8,0,1
0.025205091,5.799419873,1315,5,0,1
0.031826958,5.605834088,110,25,0,1
0.021524109,5.970889761,14034,24,0,1
0.023821962,5.99477813,1046,12,0,1
0.02382517,5.99473834,1046,12,0,1
0.023615738,6.005388753,1046,12,0,1
0.027122151,5.962819462,114,24,0,1
0.027122354,5.962767231,114,24,0,1
0.018829444,6.074500872,105,53,0,1
0.047784165,5.611432728,43,12,0,1
0.047779072,5.611212531,43,12,0,1
0.030908302,5.468849046,197,34,0,1
0.022355584,5.916469036,5034,64,0,1
0.023122669,6.085208841,30070,108,0,1
0.044376777,5.573874646,92,52,0,1
0.029185465,5.571965725,1323,45,0,1
0.025619847,5.752409654,1312,29,0,1
0.081470709,5.192227277,37,0,0,1
0.023953328,5.856249658,106,24,0,1
0.097966643,5.450511666,79,32,0,1
0.021146887,6.086041358,118,11,0,1
0.027335623,5.904160273,125,19,0,1
0.020165863,6.054707506,118,10,0,1
0.035412428,5.583494585,98,20,0,1
0.031918865,5.597560399,42,3,0,1
0.031918865,5.597560399,42,3,0,1
0.01553543,6.014873801,7236,2,0,1
0.015563134,6.012664846,93119,2,0,1
0.03411776,5.513434902,174,7,0,1
0.124396233,5.462841618,92,17,0,1
0.028754139,5.761437116,39,14,0,1
0.028771584,5.76071797,39,14,0,1
0.028754139,5.761437116,39,14,0,1
0.057860293,5.454889777,91,4,0,1
0.106037164,5.482132021,47,1,0,1
0.03640498,5.095150119,63,8,0,1
0.027754716,5.902156827,58,12,0,1
0.02699882,5.941645801,91,12,0,1
0.036618111,5.546932878,79,2,0,1
0.119707367,5.533377917,96,12,0,1
0.042602631,5.464972218,89,11,0,1
0.048200058,5.418133692,43,4,0,1
0.028510417,5.63660009,1345,45,0,1
0.035257624,5.377073025,91,0,0,1
0.035257624,5.377073025,91,0,0,1
0.049609269,5.45391869,62,35,0,1
0.036832576,5.457857702,118,1,0,1
0.015627572,6.000922118,128975,2,0,1
0.032097207,5.477911906,118,1,0,1
0.036832436,5.457832064,118,1,0,1
0.138118954,5.445303637,91,1,0,1
0.032097207,5.477911906,118,1,0,1
0.046461279,5.243976913,100,5,0,1
0.033247632,5.605739028,105,35,0,1
0.028430409,6.154949319,103,9,0,1
0.149165283,3.330042897,58,0,0,1
0.028273959,5.686616466,91,15,0,1
0.02718224,5.861547577,8867,33,0,1
0.036097024,5.3406724,52,1,0,1
0.015072057,6.0785534,137,0,0,1
0.047802409,5.29844399,66,5,0,1
0.045911665,5.397233514,61,0,0,1
0.160827491,5.637720749,66,15,0,1
0.042736938,5.501319664,89,11,0,1
0.039256367,5.571982562,64,2,0,1
0.056776355,5.066603339,49,16,0,1
0.03749871,5.400831442,135,84,0,1
0.044058849,5.261641274,48,19,0,1
0.038428143,5.439016913,50,8,0,1
0.02667096,5.604107142,194,62,0,1
0.048205671,5.963015621,152,13,0,1
0.026598198,5.964695376,98,43,0,1
0.045911665,5.397233514,61,0,0,1
0.045909901,5.397221228,61,0,0,1
0.027654419,5.704868219,127,24,0,1
0.015628886,6.000942675,216475,3,0,1
0.034747816,5.248944961,30,2,0,1
0.084531424,5.458207639,76,6,0,1
0.027928753,5.771381399,154,59,0,1
0.028844972,5.608918096,92,25,0,1
0.027872284,6.084084574,150,31,0,1
0.02670108,6.001423459,126,24,0,1
0.023740691,6.016317352,126,22,0,1
0.028653435,6.086248843,168,28,0,1
0.044796286,5.684162339,84,4,0,1
0.051041708,5.671598023,84,4,0,1
0.028316289,5.374346463,51,3,0,1
0.043182789,5.28470351,453,4,0,1
0.043176602,5.284636249,453,4,0,1
0.073840666,5.528991975,281,11,0,1
0.083078676,5.494335583,113,10,0,1
0.028745364,5.637486764,55,2,0,1
0.028736271,5.637546089,55,2,0,1
0.030718664,5.717654556,422,95,0,1
0.018972675,6.140516929,39947,69,0,1
0.019558244,6.102341443,39941,42,0,1
0.032869743,5.438519474,93,7,0,1
0.033926793,5.39719201,93,7,0,1
0.054188111,5.320069125,57,1,0,1
0.029689874,5.222500655,42,3,0,1
0.054177029,5.30932776,57,1,0,1
0.049934265,5.597341275,56,13,0,1
0.049928352,5.597096086,56,13,0,1
0.036363088,5.338202403,46,0,0,1
0.027761106,5.55038954,129,4,0,1
0.027791397,5.548091082,129,4,0,1
0.026812487,6.053842024,126,22,0,1
0.033973995,5.366896095,195,38,0,1
0.03935376,5.415892287,66,11,0,1
0.019544263,6.104067157,39941,41,0,1
0.0156434,6.008268146,62567,0,0,1
0.040163805,5.758320488,69,0,0,1
0.032359404,5.370628529,84,11,0,1
0.035672837,5.497963674,78,20,0,1
